adresse;name;bytes;aufrufer;ruft_auf
0x0040f3b0;FUN_0040f3b0;1180;1;5
0x0040f850;FUN_0040f850;124;6;0
0x0040f8d0;FUN_0040f8d0;10;1;0
0x0040f8da;FUN_0040f8da;207;0;2
0x0040f9b0;FUN_0040f9b0;493;2;4
0x0040fba0;FUN_0040fba0;400;1;6
0x0040fd30;FUN_0040fd30;248;1;2
0x0040fe30;FUN_0040fe30;266;1;8
0x0040ff40;FUN_0040ff40;19;1;0
0x0040ff60;FUN_0040ff60;127;1;3
0x0040ffe0;FUN_0040ffe0;277;1;2
0x00410100;FUN_00410100;58;1;1
0x00410140;FUN_00410140;65;1;2
0x00410190;FUN_00410190;276;1;3
0x004102b0;FUN_004102b0;600;1;4
0x00410520;FUN_00410520;515;1;4
0x00410740;FUN_00410740;515;1;2
0x00410950;FUN_00410950;968;1;8
0x00410d30;FUN_00410d30;703;1;3
0x00410ff0;FUN_00410ff0;352;1;3
0x00411150;FUN_00411150;326;1;3
0x004112a0;FUN_004112a0;326;1;3
0x004113f0;FUN_004113f0;288;1;2
0x00411510;FUN_00411510;19;1;0
0x00411530;Aqua_Renderer__Menu_InGame_AllocateResources;1133;1;21
0x004119a0;FUN_004119a0;2345;1;14
0x004122d0;FUN_004122d0;33;8;0
0x00412300;FUN_00412300;539;29;4
0x00412520;FUN_00412520;22;1;1
0x00412540;FUN_00412540;139;1;4
0x004125d0;Aqua_Renderer__Clear_SetColors;79;1;2
0x00412620;FUN_00412620;24;1;0
0x00412640;FUN_00412640;24;1;0
0x00412660;FUN_00412660;24;1;0
0x00412680;FUN_00412680;154;4;1
0x00412720;FUN_00412720;343;1;1
0x00412880;FUN_00412880;48;1;0
0x004128b0;FUN_004128b0;220;1;2
0x00412990;FUN_00412990;43;6;0
0x004129c0;FUN_004129c0;322;1;2
0x00412b10;FUN_00412b10;721;4;15
0x00412df0;CON_Cache<T>__Unlock_18;214;3;3
0x00412ed0;FUN_00412ed0;243;2;3
0x00412fd0;FUN_00412fd0;595;4;12
0x00413230;FUN_00413230;226;4;8
0x00413320;FUN_00413320;577;3;13
0x00413570;FUN_00413570;589;1;13
0x004137c0;FUN_004137c0;45;3;0
0x004137f0;FUN_004137f0;510;1;11
0x004139f0;FUN_004139f0;1233;1;5
0x00413ed0;FUN_00413ed0;1;0;0
0x00413ee0;FUN_00413ee0;3;0;0
0x00413ef0;FUN_00413ef0;31;0;1
0x00413f10;FUN_00413f10;28;0;1
0x00413f30;FUN_00413f30;59;0;1
0x00413f70;FUN_00413f70;28;0;1
0x00413f90;FUN_00413f90;28;0;1
0x00413fb0;FUN_00413fb0;59;0;1
0x00413ff0;FUN_00413ff0;28;0;1
0x00414010;FUN_00414010;28;0;1
0x00414030;FUN_00414030;59;0;1
0x00414070;FUN_00414070;28;0;1
0x00414090;FUN_00414090;59;0;1
0x004140d0;FUN_004140d0;28;0;1
0x004140f0;FUN_004140f0;59;0;1
0x00414130;FUN_00414130;28;0;1
0x00414150;FUN_00414150;28;0;1
0x00414170;FUN_00414170;59;0;1
0x004141b0;FUN_004141b0;28;0;1
0x004141d0;FUN_004141d0;81;0;0
0x00414230;FUN_00414230;59;0;1
0x00414270;FUN_00414270;28;0;1
0x00414290;FUN_00414290;350;1;2
0x004143f0;FUN_004143f0;194;4;8
0x004144c0;FUN_004144c0;22;4;1
0x004144e0;FUN_004144e0;89;4;4
0x00414540;FUN_00414540;82;1;2
0x004145a0;Aqua_Simulation__GetMaxNumOfAttackers;101;1;2
0x00414620;Aqua_Simulation__GetMaxNumOfTorpedos;83;1;2
0x00414690;FUN_00414690;198;2;6
0x00414760;FUN_00414760;9;15;1
0x00414770;thunk_FUN_004414d0;5;33;0
0x00414780;FUN_00414780;63;10;1
0x004147c0;FUN_004147c0;93;2;2
0x00414820;FUN_00414820;74;15;2
0x00414870;FUN_00414870;7;8;0
0x00414880;FUN_00414880;19;0;1
0x004148a0;CON_Cache<T>__Unlock_14;211;23;3
0x00414980;CON_Cache<T>__Lock_5;173;6;1
0x00414a30;CON_Cache<T>__Unlock_16;316;4;5
0x00414b70;CON_Cache<T>__Unlock_28;391;1;4
0x00414d00;SND_SampleInfo__ParseIniFile;174;9;9
0x00414db0;CON_Cache<T>__Unlock_19;945;10;12
0x00415170;FUN_00415170;91;7;3
0x004151d0;CON_Cache<T>__Unlock_6;329;10;5
0x00415320;FUN_00415320;17;7;2
